"size";"naive";"better";"blas"
190;0.042756;0.034778;0.014214
190;0.043174;0.035343;0.013794
190;0.043038;0.045030;0.013279
200;0.049481;0.041039;0.016365
200;0.048552;0.041294;0.019208
200;0.049565;0.041917;0.015408
200;0.047916;0.042341;0.016038
200;0.049131;0.041988;0.015004
200;0.048586;0.041580;0.015458
200;0.048391;0.041248;0.015107
200;0.050969;0.041111;0.015415
200;0.051937;0.040941;0.016789
200;0.053595;0.042114;0.016457
210;0.061999;0.056723;0.020673
210;0.063875;0.066564;0.018543
210;0.072803;0.048900;0.018101
210;0.056087;0.050441;0.022516
210;0.062160;0.051982;0.018463
210;0.056907;0.048820;0.020018
210;0.060982;0.050751;0.018949
210;0.057002;0.050190;0.018775
210;0.056497;0.048730;0.018304
210;0.059124;0.049087;0.018350
220;0.073035;0.060985;0.021270
220;0.071279;0.057074;0.021541
220;0.071745;0.056344;0.021000
220;0.069568;0.053132;0.022444
220;0.074945;0.056707;0.020895
220;0.070434;0.074750;0.020949
220;0.077834;0.063925;0.022127
220;0.072383;0.055190;0.020576
220;0.069182;0.054450;0.020275
220;0.066802;0.055354;0.020534
230;0.090022;0.064237;0.023876
230;0.088374;0.083906;0.024329
230;0.080702;0.062495;0.022923
230;0.073109;0.075542;0.025098
230;0.085517;0.062329;0.023430
230;0.072052;0.063501;0.023645
230;0.074358;0.065790;0.024183
230;0.076976;0.066549;0.023507
230;0.072018;0.062534;0.024480
230;0.074824;0.065563;0.023911
240;0.101115;0.069611;0.026610
240;0.089395;0.070277;0.027177
240;0.087459;0.070569;0.026667
240;0.090430;0.072400;0.026572
240;0.088440;0.070786;0.026783
240;0.091098;0.070902;0.027511
240;0.091247;0.076116;0.028335
240;0.093686;0.070874;0.026437
240;0.089376;0.071434;0.026965
240;0.089635;0.071222;0.027038
250;0.095425;0.081453;0.031255
250;0.095686;0.081120;0.030874
250;0.096648;0.080845;0.030748
250;0.096800;0.084138;0.032252
250;0.099065;0.081327;0.030613
250;0.097420;0.085996;0.030041
250;0.097727;0.081485;0.030342
250;0.114116;0.087265;0.033529
250;0.100091;0.080664;0.031860
250;0.095370;0.077589;0.029506
260;0.121223;0.090093;0.035162
260;0.112909;0.096662;0.034793
260;0.110366;0.095792;0.037855
260;0.115916;0.087786;0.031919
260;0.105705;0.090091;0.036696
260;0.112073;0.089224;0.034320
260;0.110177;0.093030;0.032417
260;0.106953;0.090245;0.046426
260;0.109664;0.089224;0.041815
260;0.111144;0.091380;0.033330
270;0.128051;0.102498;0.037108
270;0.129423;0.103401;0.039791
270;0.125029;0.100710;0.038708
270;0.128406;0.102864;0.037548
270;0.129462;0.103434;0.036918
270;0.126009;0.102322;0.037623
270;0.124678;0.106145;0.037834
270;0.127318;0.105569;0.037547
270;0.126102;0.102076;0.037837
270;0.125760;0.101910;0.038545
280;0.150927;0.115575;0.041525
280;0.136210;0.120128;0.042261
280;0.138906;0.112735;0.040609
280;0.148271;0.115969;0.040885
280;0.141371;0.112400;0.040126
280;0.145308;0.111037;0.040296
280;0.136855;0.109328;0.041237
280;0.150915;0.112334;0.040965
280;0.139038;0.113097;0.041085
280;0.139551;0.114988;0.041701
290;0.165854;0.141377;0.048244
290;0.152724;0.126723;0.046407
290;0.158442;0.130877;0.046346
290;0.149943;0.122814;0.046106
290;0.144593;0.121711;0.046391
290;0.146297;0.126866;0.045953
290;0.150624;0.129251;0.046491
290;0.149820;0.125657;0.044748
290;0.145340;0.123798;0.046811
290;0.145630;0.126229;0.047755
300;0.171457;0.136560;0.050329
300;0.173517;0.137889;0.050727
300;0.171883;0.135438;0.051261
300;0.170734;0.138296;0.049703
300;0.173112;0.137610;0.051864
300;0.172766;0.147525;0.050590
300;0.173768;0.159640;0.050915
300;0.176946;0.143322;0.052512
300;0.182830;0.141182;0.052488
300;0.177799;0.137838;0.051778
310;0.191081;0.178663;0.060795
310;0.180043;0.156250;0.060415
310;0.186882;0.156709;0.058573
310;0.184763;0.156787;0.057768
310;0.178382;0.153539;0.056689
310;0.179347;0.157906;0.056994
310;0.181759;0.151530;0.059278
310;0.185722;0.151520;0.067762
310;0.227490;0.156510;0.058807
310;0.183236;0.153712;0.055498
320;0.233666;0.179439;0.065057
320;0.213905;0.165791;0.061519
320;0.222374;0.167021;0.064123
320;0.211267;0.168666;0.063814
320;0.215351;0.165717;0.063487
320;0.211862;0.166119;0.060712
320;0.211650;0.164381;0.062351
320;0.211140;0.164197;0.063043
320;0.207831;0.166136;0.061151
320;0.216356;0.162880;0.061149
330;0.217154;0.181197;0.068248
330;0.219385;0.180783;0.067586
330;0.216698;0.181099;0.068821
330;0.255449;0.186758;0.072403
330;0.232880;0.190456;0.073624
330;0.247171;0.186984;0.068646
330;0.228518;0.193115;0.071492
330;0.225770;0.188990;0.070560
330;0.221197;0.183983;0.069268
330;0.225866;0.198603;0.071671
340;0.288341;0.200755;0.079773
340;0.282559;0.203451;0.077924
340;0.289981;0.198851;0.074959
340;0.262658;0.201287;0.080062
340;0.273721;0.204351;0.077612
340;0.260337;0.194405;0.073703
340;0.252614;0.194314;0.072926
340;0.257779;0.195226;0.071736
340;0.272239;0.229479;0.074449
340;0.252954;0.198356;0.072921
350;0.311387;0.218043;0.080514
350;0.279355;0.219660;0.080144
350;0.313922;0.231207;0.109631
350;0.316400;0.223923;0.083552
350;0.317366;0.227443;0.088775
350;0.307033;0.238329;0.087758
350;0.312168;0.230927;0.091279
350;0.322392;0.228375;0.090229
350;0.325595;0.234507;0.083755
350;0.316116;0.224155;0.096518
360;0.345738;0.250569;0.087773
360;0.367062;0.241948;0.099397
360;0.336347;0.243983;0.089309
360;0.359906;0.242665;0.092735
360;0.332816;0.259342;0.091494
360;0.381764;0.242551;0.088591
360;0.312719;0.258195;0.101450
360;0.437774;0.253668;0.089135
360;0.320143;0.250482;0.095568
360;0.351216;0.253782;0.095555
370;0.394088;0.301412;0.113003
370;0.349400;0.267758;0.099970
370;0.352646;0.271179;0.097061
370;0.350092;0.281235;0.110735
370;0.337317;0.265891;0.099406
370;0.334622;0.268099;0.103587
370;0.372433;0.268613;0.105347
370;0.363588;0.262154;0.099477
370;0.342248;0.268513;0.100397
370;0.338495;0.266431;0.100335
380;0.445348;0.295444;0.111444
380;0.441489;0.293844;0.112760
380;0.418366;0.289160;0.113599
380;0.487528;0.282894;0.107813
380;0.415249;0.290784;0.108912
380;0.539085;0.331164;0.113679
380;0.467553;0.287815;0.110136
380;0.390114;0.288643;0.103711
380;0.370359;0.278874;0.106417
380;0.438511;0.292898;0.118069
390;0.472549;0.316190;0.116465
390;0.387800;0.325656;0.116266
390;0.374665;0.320671;0.114398
390;0.382067;0.322662;0.114545
390;0.385908;0.325230;0.128077
390;0.402144;0.312514;0.114282
390;0.472583;0.304559;0.134097
390;0.408999;0.307075;0.113595
390;0.388259;0.322828;0.117699
390;0.385671;0.316306;0.115372
400;0.488675;0.373351;0.163292
400;0.495475;0.340754;0.131482
400;0.561058;0.353938;0.136215
400;0.480480;0.342244;0.140151
400;0.517819;0.351434;0.138388
400;0.497602;0.343471;0.138171
400;0.558743;0.358678;0.143342
400;0.462873;0.320415;0.118822
400;0.500853;0.329680;0.127373
400;0.447658;0.326381;0.132536
410;0.556274;0.353405;0.139133
410;0.437479;0.352511;0.137715
410;0.526581;0.349622;0.138065
410;0.439028;0.352719;0.133458
410;0.444498;0.417537;0.147779
410;0.433899;0.345373;0.127678
410;0.433169;0.341311;0.126660
410;0.442198;0.350536;0.131791
410;0.434550;0.344837;0.126355
410;0.436219;0.346738;0.126450
420;0.507938;0.365003;0.137614
420;0.498094;0.370139;0.138753
420;0.525368;0.368792;0.134164
420;0.505184;0.368967;0.136046
420;0.508911;0.371956;0.134721
420;0.508856;0.378515;0.145275
420;0.652959;0.382804;0.143481
420;0.552655;0.398561;0.141451
420;0.563017;0.380999;0.141736
420;0.533505;0.422981;0.142716
430;0.554177;0.426205;0.174216
430;0.522415;0.398379;0.148777
430;0.521719;0.400109;0.145626
430;0.584490;0.396086;0.150130
430;0.584490;0.397036;0.144819
430;0.523640;0.415335;0.148635
430;0.606246;0.402783;0.189296
430;0.584782;0.406884;0.151290
430;0.533826;0.405083;0.160190
430;0.633195;0.410494;0.151305
440;0.661709;0.455020;0.186103
440;0.785328;0.440781;0.188346
440;0.840890;0.460296;0.200284
440;0.755133;0.450156;0.192738
440;0.709975;0.454649;0.166075
440;0.744331;0.433391;0.174314
440;0.941165;0.453554;0.174524
440;0.794288;0.473679;0.163768
440;0.695495;0.435820;0.167979
440;0.603558;0.445617;0.169611
450;0.678897;0.458903;0.191568
450;0.694434;0.492065;0.174863
450;0.638295;0.499850;0.176148
450;0.851875;0.500675;0.199610
