"typ";"rozmiar";"pomiar"
0;1000;20.000000
0;1000;10.000000
0;1000;10.000000
0;1000;10.000000
0;1000;10.000000
0;1000;20.000000
0;1000;20.000000
0;1000;10.000000
0;1000;10.000000
0;1000;10.000000
0;1500;20.000000
0;1500;10.000000
0;1500;10.000000
0;1500;10.000000
0;1500;10.000000
0;1500;10.000000
0;1500;10.000000
0;1500;10.000000
0;1500;10.000000
0;1500;20.000000
0;2000;20.000000
0;2000;20.000000
0;2000;20.000000
0;2000;30.000000
0;2000;20.000000
0;2000;20.000000
0;2000;20.000000
0;2000;20.000000
0;2000;20.000000
0;2000;20.000000
0;2500;30.000000
0;2500;20.000000
0;2500;20.000000
0;2500;30.000000
0;2500;30.000000
0;2500;30.000000
0;2500;20.000000
0;2500;30.000000
0;2500;30.000000
0;2500;30.000000
0;3000;40.000000
0;3000;30.000000
0;3000;30.000000
0;3000;30.000000
0;3000;30.000000
0;3000;30.000000
0;3000;30.000000
0;3000;30.000000
0;3000;30.000000
0;3000;30.000000
0;3500;40.000000
0;3500;40.000000
0;3500;50.000000
0;3500;40.000000
0;3500;40.000000
0;3500;40.000000
0;3500;30.000000
0;3500;30.000000
0;3500;40.000000
0;3500;40.000000
0;4000;50.000000
0;4000;40.000000
0;4000;40.000000
0;4000;40.000000
0;4000;50.000000
0;4000;40.000000
0;4000;50.000000
0;4000;40.000000
0;4000;40.000000
0;4000;40.000000
0;4500;50.000000
0;4500;50.000000
0;4500;50.000000
0;4500;40.000000
0;4500;50.000000
0;4500;50.000000
0;4500;50.000000
0;4500;60.000000
0;4500;50.000000
0;4500;60.000000
0;5000;60.000000
0;5000;50.000000
0;5000;50.000000
0;5000;60.000000
0;5000;50.000000
0;5000;60.000000
0;5000;60.000000
0;5000;70.000000
0;5000;60.000000
0;5000;50.000000
0;5500;70.000000
0;5500;60.000000
0;5500;60.000000
0;5500;60.000000
0;5500;70.000000
0;5500;60.000000
0;5500;60.000000
0;5500;60.000000
0;5500;70.000000
0;5500;60.000000
0;6000;80.000000
0;6000;80.000000
0;6000;70.000000
0;6000;70.000000
0;6000;70.000000
0;6000;70.000000
0;6000;70.000000
0;6000;70.000000
0;6000;80.000000
0;6000;70.000000
0;6500;80.000000
0;6500;70.000000
0;6500;70.000000
0;6500;80.000000
0;6500;80.000000
0;6500;70.000000
0;6500;70.000000
0;6500;80.000000
0;6500;70.000000
0;6500;70.000000
0;7000;90.000000
0;7000;70.000000
0;7000;70.000000
0;7000;70.000000
0;7000;70.000000
0;7000;70.000000
0;7000;60.000000
0;7000;60.000000
0;7000;60.000000
0;7000;60.000000
0;7500;70.000000
0;7500;70.000000
0;7500;70.000000
0;7500;70.000000
0;7500;70.000000
0;7500;70.000000
0;7500;70.000000
0;7500;70.000000
0;7500;70.000000
0;7500;70.000000
0;8000;80.000000
0;8000;80.000000
0;8000;80.000000
0;8000;80.000000
0;8000;80.000000
0;8000;80.000000
0;8000;80.000000
0;8000;80.000000
0;8000;80.000000
0;8000;80.000000
0;8500;80.000000
0;8500;80.000000
0;8500;80.000000
0;8500;80.000000
0;8500;80.000000
0;8500;80.000000
0;8500;90.000000
0;8500;80.000000
0;8500;80.000000
0;8500;80.000000
0;9000;90.000000
0;9000;90.000000
0;9000;90.000000
0;9000;90.000000
0;9000;90.000000
0;9000;80.000000
0;9000;80.000000
0;9000;90.000000
0;9000;90.000000
0;9000;80.000000
0;9500;90.000000
0;9500;90.000000
0;9500;90.000000
0;9500;90.000000
0;9500;90.000000
0;9500;90.000000
0;9500;90.000000
0;9500;90.000000
0;9500;90.000000
0;9500;90.000000
0;10000;90.000000
0;10000;90.000000
0;10000;90.000000
0;10000;100.000000
0;10000;90.000000
0;10000;90.000000
0;10000;100.000000
0;10000;100.000000
0;10000;100.000000
0;10000;100.000000
0;10500;100.000000
0;10500;100.000000
0;10500;100.000000
0;10500;100.000000
0;10500;90.000000
0;10500;100.000000
0;10500;100.000000
0;10500;100.000000
0;10500;100.000000
0;10500;100.000000
0;11000;110.000000
0;11000;110.000000
0;11000;100.000000
0;11000;100.000000
0;11000;100.000000
0;11000;100.000000
0;11000;110.000000
0;11000;110.000000
0;11000;110.000000
0;11000;110.000000
0;11500;110.000000
0;11500;100.000000
0;11500;110.000000
0;11500;110.000000
0;11500;120.000000
0;11500;110.000000
0;11500;110.000000
0;11500;100.000000
0;11500;110.000000
0;11500;110.000000
0;12000;110.000000
0;12000;110.000000
0;12000;110.000000
0;12000;110.000000
0;12000;120.000000
0;12000;110.000000
0;12000;110.000000
0;12000;110.000000
0;12000;120.000000
0;12000;110.000000
0;12500;120.000000
0;12500;120.000000
0;12500;120.000000
0;12500;110.000000
0;12500;160.000000
0;12500;120.000000
0;12500;120.000000
0;12500;120.000000
0;12500;130.000000
0;12500;130.000000
0;13000;140.000000
0;13000;140.000000
0;13000;130.000000
0;13000;140.000000
0;13000;150.000000
0;13000;130.000000
0;13000;140.000000
0;13000;150.000000
0;13000;130.000000
0;13000;140.000000
0;13500;160.000000
0;13500;160.000000
0;13500;160.000000
0;13500;160.000000
0;13500;150.000000
0;13500;160.000000
0;13500;160.000000
0;13500;160.000000
0;13500;170.000000
0;13500;150.000000
0;14000;160.000000
0;14000;170.000000
0;14000;170.000000
0;14000;160.000000
0;14000;170.000000
0;14000;170.000000
0;14000;150.000000
0;14000;160.000000
0;14000;160.000000
0;14000;160.000000
0;14500;130.000000
0;14500;140.000000
0;14500;130.000000
0;14500;130.000000
0;14500;140.000000
0;14500;140.000000
0;14500;140.000000
0;14500;140.000000
0;14500;130.000000
0;14500;140.000000
0;15000;140.000000
0;15000;140.000000
0;15000;140.000000
0;15000;140.000000
0;15000;140.000000
0;15000;140.000000
0;15000;140.000000
0;15000;140.000000
0;15000;140.000000
0;15000;140.000000
0;15500;150.000000
